Date,EntryID,Temperature,Humidity,Vibration,Status
27/04/26,2415,35.40,89.00,0.00,NORMAL
27/04/26,2416,35.30,89.00,0.00,NORMAL
27/04/26,2417,35.30,89.00,0.00,NORMAL
27/04/26,2418,35.30,89.00,0.00,NORMAL
27/04/26,2419,35.30,89.00,0.00,NORMAL
27/04/26,2420,35.30,89.00,0.00,NORMAL
27/04/26,2421,35.30,89.00,0.00,NORMAL
27/04/26,2422,35.30,89.00,0.00,NORMAL
27/04/26,2423,35.30,89.00,0.15,NORMAL
27/04/26,2424,35.20,89.00,0.15,NORMAL
27/04/26,2425,35.10,89.00,0.15,NORMAL
27/04/26,2426,35.00,89.00,0.15,NORMAL
27/04/26,2427,34.90,90.00,0.00,NORMAL
27/04/26,2428,34.90,90.00,0.30,NORMAL
27/04/26,2429,34.70,89.00,0.45,NORMAL
27/04/26,2430,34.70,90.00,0.75,NORMAL
27/04/26,2431,34.90,90.00,1.65,NORMAL
27/04/26,2432,35.00,90.00,0.15,NORMAL
27/04/26,2433,35.10,89.00,0.00,NORMAL
27/04/26,2434,35.20,89.00,0.00,NORMAL
27/04/26,2435,35.20,89.00,0.00,NORMAL
27/04/26,2436,35.30,88.00,0.00,NORMAL
27/04/26,2437,35.40,88.00,0.00,NORMAL
27/04/26,2438,35.20,86.00,0.00,NORMAL
27/04/26,2439,35.00,87.00,0.00,NORMAL
27/04/26,2440,35.00,88.00,0.00,NORMAL
27/04/26,2441,34.90,87.00,0.00,NORMAL
27/04/26,2442,34.90,87.00,0.20,NORMAL
27/04/26,2443,34.70,87.00,0.10,NORMAL
27/04/26,2444,34.60,88.00,0.05,NORMAL
27/04/26,2445,34.60,88.00,0.90,NORMAL
27/04/26,2446,34.60,88.00,0.15,NORMAL
27/04/26,2447,34.50,89.00,0.40,NORMAL
27/04/26,2448,34.50,90.00,0.50,NORMAL
27/04/26,2449,34.50,90.00,0.40,NORMAL
27/04/26,2450,34.60,89.00,0.45,NORMAL
27/04/26,2451,34.70,88.00,0.40,NORMAL
27/04/26,2452,34.70,88.00,1.05,NORMAL
27/04/26,2453,34.70,88.00,0.05,NORMAL
27/04/26,2454,34.90,87.00,0.00,NORMAL
27/04/26,2455,34.90,88.00,0.00,NORMAL
27/04/26,2456,34.90,89.00,0.00,NORMAL
27/04/26,2457,34.90,89.00,0.00,NORMAL
27/04/26,2458,34.70,90.00,0.00,NORMAL
27/04/26,2459,34.70,90.00,0.00,NORMAL
27/04/26,2460,34.70,90.00,0.00,NORMAL
27/04/26,2461,34.90,90.00,0.00,NORMAL
27/04/26,2462,34.80,90.00,0.00,NORMAL
27/04/26,2463,34.90,90.00,0.25,NORMAL
27/04/26,2464,35.10,90.00,0.15,NORMAL
27/04/26,2465,34.90,90.00,0.20,NORMAL
27/04/26,2466,34.90,89.00,0.30,NORMAL
27/04/26,2467,34.90,90.00,0.25,NORMAL
27/04/26,2468,35.00,89.00,0.35,NORMAL
27/04/26,2469,35.00,89.00,0.65,NORMAL
27/04/26,2470,35.10,87.00,0.65,NORMAL
27/04/26,2471,35.10,87.00,1.10,NORMAL
27/04/26,2472,35.30,87.00,0.85,NORMAL
27/04/26,2473,35.30,87.00,0.60,NORMAL
27/04/26,2474,35.40,87.00,0.90,NORMAL
27/04/26,2475,35.50,86.00,0.95,NORMAL
27/04/26,2476,35.50,85.00,1.45,NORMAL
27/04/26,2477,35.50,85.00,0.00,NORMAL
27/04/26,2478,35.50,84.00,0.10,NORMAL
27/04/26,2479,35.00,83.00,0.00,NORMAL
27/04/26,2480,34.90,83.00,0.00,NORMAL
27/04/26,2481,34.70,84.00,0.00,NORMAL
27/04/26,2482,34.70,85.00,0.00,NORMAL
27/04/26,2483,34.60,86.00,0.00,NORMAL
27/04/26,2484,34.60,87.00,0.00,NORMAL
27/04/26,2485,34.60,88.00,0.00,NORMAL
27/04/26,2486,34.70,89.00,0.45,NORMAL
27/04/26,2487,34.70,89.00,0.30,NORMAL
27/04/26,2488,34.70,89.00,0.15,NORMAL
27/04/26,2489,34.70,88.00,1.45,NORMAL
27/04/26,2490,34.70,88.00,0.15,NORMAL
27/04/26,2491,34.80,88.00,0.45,NORMAL
27/04/26,2492,34.80,88.00,0.35,NORMAL
27/04/26,2493,35.00,88.00,0.30,NORMAL
27/04/26,2494,35.30,88.00,1.10,NORMAL
27/04/26,2495,35.30,88.00,0.10,NORMAL
27/04/26,2496,35.40,88.00,0.00,NORMAL
27/04/26,2497,35.70,88.00,0.00,NORMAL
27/04/26,2498,35.60,86.00,0.00,NORMAL
27/04/26,2499,35.30,87.00,0.00,NORMAL
27/04/26,2500,35.30,87.00,0.00,NORMAL
27/04/26,2501,34.90,89.00,0.00,NORMAL
27/04/26,2502,34.70,91.00,0.00,NORMAL
27/04/26,2503,34.70,91.00,0.00,NORMAL
27/04/26,2504,34.70,92.00,0.00,NORMAL
27/04/26,2505,34.70,92.00,0.50,NORMAL
27/04/26,2506,34.80,92.00,0.30,NORMAL
27/04/26,2507,35.00,91.00,0.55,NORMAL
27/04/26,2508,35.30,91.00,2.05,WARNING
27/04/26,2509,35.40,90.00,0.25,NORMAL
27/04/26,2510,35.70,89.00,0.65,NORMAL
27/04/26,2511,35.70,89.00,1.05,NORMAL
27/04/26,2512,36.00,89.00,1.55,NORMAL
27/04/26,2513,36.20,89.00,0.20,WARNING
27/04/26,2514,36.30,87.00,0.05,WARNING
27/04/26,2515,36.30,86.00,0.00,WARNING
27/04/26,2516,36.20,86.00,0.00,WARNING
27/04/26,2517,36.20,87.00,0.00,WARNING
27/04/26,2518,35.90,87.00,0.00,NORMAL
27/04/26,2519,35.70,88.00,0.00,NORMAL
27/04/26,2520,35.70,88.00,0.00,NORMAL
27/04/26,2521,35.60,89.00,0.00,NORMAL
27/04/26,2522,35.20,87.00,0.35,NORMAL
27/04/26,2523,35.10,88.00,0.35,NORMAL
27/04/26,2524,35.30,89.00,0.80,NORMAL
27/04/26,2525,35.00,90.00,0.35,NORMAL
27/04/26,2526,35.00,91.00,0.60,NORMAL
27/04/26,2527,35.10,91.00,0.35,NORMAL
27/04/26,2528,35.30,91.00,0.25,NORMAL
27/04/26,2529,35.70,90.00,0.25,NORMAL
27/04/26,2530,35.70,88.00,0.20,NORMAL
27/04/26,2531,36.00,89.00,0.25,NORMAL
27/04/26,2532,35.80,87.00,0.30,NORMAL
27/04/26,2533,35.70,87.00,0.40,NORMAL
27/04/26,2534,35.70,88.00,0.40,NORMAL
27/04/26,2535,35.40,89.00,0.50,NORMAL
27/04/26,2536,35.60,89.00,0.55,NORMAL
27/04/26,2537,35.70,89.00,0.00,NORMAL
27/04/26,2538,35.30,89.00,0.00,NORMAL
27/04/26,2539,35.00,90.00,0.00,NORMAL
27/04/26,2540,34.90,90.00,0.00,NORMAL
27/04/26,2541,34.90,91.00,0.00,NORMAL
27/04/26,2542,34.80,91.00,0.00,NORMAL
27/04/26,2543,34.80,91.00,0.00,NORMAL
27/04/26,2544,34.70,91.00,0.00,NORMAL
27/04/26,2545,34.70,92.00,0.05,NORMAL
27/04/26,2546,34.70,93.00,0.65,NORMAL
27/04/26,2547,34.70,92.00,0.55,NORMAL
27/04/26,2548,34.70,92.00,0.40,NORMAL
27/04/26,2549,34.80,92.00,0.15,NORMAL
27/04/26,2550,34.80,93.00,0.35,NORMAL
27/04/26,2551,34.90,92.00,0.55,NORMAL
27/04/26,2552,35.10,92.00,0.30,NORMAL
27/04/26,2553,35.20,91.00,0.30,NORMAL
27/04/26,2554,35.40,91.00,0.20,NORMAL
27/04/26,2555,35.40,91.00,0.25,NORMAL
27/04/26,2556,35.70,90.00,0.20,NORMAL
27/04/26,2557,35.70,90.00,1.90,NORMAL
27/04/26,2558,35.80,89.00,0.05,NORMAL
27/04/26,2559,35.90,89.00,0.00,NORMAL
27/04/26,2560,35.70,90.00,0.00,NORMAL
27/04/26,2561,35.70,90.00,0.00,NORMAL
27/04/26,2562,35.40,90.00,0.00,NORMAL
27/04/26,2563,35.60,90.00,0.00,NORMAL
27/04/26,2564,35.60,90.00,0.00,NORMAL
27/04/26,2565,35.60,90.00,0.00,NORMAL
27/04/26,2566,35.60,90.00,0.00,NORMAL
27/04/26,2567,35.40,91.00,0.20,NORMAL
27/04/26,2568,35.40,91.00,0.30,NORMAL
27/04/26,2569,35.30,90.00,0.70,NORMAL
27/04/26,2570,35.30,91.00,1.30,NORMAL
27/04/26,2571,35.20,91.00,0.10,NORMAL
27/04/26,2572,35.10,90.00,0.35,NORMAL
27/04/26,2573,35.10,89.00,0.45,NORMAL
27/04/26,2574,35.10,90.00,0.65,NORMAL
27/04/26,2575,35.10,91.00,0.35,NORMAL
27/04/26,2576,35.20,90.00,0.70,NORMAL
27/04/26,2577,35.30,91.00,0.75,NORMAL
27/04/26,2578,35.40,90.00,0.60,NORMAL
